# PRESS HGT(MSL) TEMP DEW PT  WND DIR  WND SPD
# HPA       M      C     C       DEG     M/S  
# E = Estimated Surface Height
#
  868.  1345.   16.8   -3.2   174.0     1.9
  850.  1527.   21.6   -4.4   171.5     3.0
  800.  2049.   17.9   -5.5   196.5     2.9
  750.  2596.   14.3   -9.4   237.3     3.2
  700.  3175.   12.9  -24.3   262.0     2.6
  650.  3793.    9.8  -29.6   174.2     1.4
  600.  4451.    5.3  -28.6   140.7     1.9
  550.  5154.    0.1  -29.1   113.2     2.1
  500.  5908.   -6.0  -29.9   107.7     2.5
  450.  6723.  -12.1  -37.2    89.7     2.1
  400.  7613.  -18.0  -49.3    32.0     2.7
  350.  8597.  -24.7  -49.7    12.2     4.8
  300.  9703.  -31.6  -50.9   327.7     7.4
  250. 10963.  -42.7  -51.4   313.6     9.9
  200. 12427.  -55.2  -60.8   303.9    11.9
  150. 14216.  -65.1  -75.6   254.4    15.8
  100. 16604.  -77.3  -77.3   245.5    14.8
   50. 20719.  -64.9 -273.1    54.7     1.0
   20. 26467.  -53.9 -273.1    57.8     4.2
